Byte_size,Stride,Time,Chain_type
16777216, 20, 5.25404e-14, linear
16777216, 20, 5.12882e-14, random
33554432, 20, 5.68285e-14, linear
33554432, 20, 5.47685e-14, random
67108864, 20, 5.12231e-14, linear
67108864, 20, 5.08545e-14, random
134217728, 20, 5.15267e-14, linear
134217728, 20, 4.82416e-14, random
1024, 21, 1.3005e-14, linear
1024, 21, 1.32435e-14, random
2048, 21, 1.27068e-14, linear
2048, 21, 1.55746e-14, random
4096, 21, 1.29942e-14, linear
4096, 21, 1.30321e-14, random
8192, 21, 1.7228e-14, linear
8192, 21, 1.28586e-14, random
16384, 21, 1.25171e-14, linear
16384, 21, 1.28207e-14, random
32768, 21, 1.3314e-14, linear
32768, 21, 1.3314e-14, random
65536, 21, 1.33519e-14, linear
65536, 21, 1.33953e-14, random
131072, 21, 1.39103e-14, linear
131072, 21, 2.70671e-14, random
262144, 21, 1.719e-14, linear
262144, 21, 1.35308e-14, random
524288, 21, 1.42139e-14, linear
524288, 21, 1.41488e-14, random
1048576, 21, 1.53415e-14, linear
1048576, 21, 1.49349e-14, random
2097152, 21, 2.95499e-14, linear
2097152, 21, 2.53107e-14, random
4194304, 21, 3.58979e-14, linear
4194304, 21, 3.17996e-14, random
8388608, 21, 4.15846e-14, linear
8388608, 21, 3.74646e-14, random
16777216, 21, 4.63822e-14, linear
16777216, 21, 4.78784e-14, random
33554432, 21, 4.89355e-14, linear
33554432, 21, 4.81548e-14, random
67108864, 21, 5.32669e-14, linear
67108864, 21, 5.0887e-14, random
134217728, 21, 5.37656e-14, linear
134217728, 21, 4.89355e-14, random
1024, 22, 1.25605e-14, linear
1024, 22, 1.33682e-14, random
2048, 22, 1.32652e-14, linear
2048, 22, 1.33248e-14, random
4096, 22, 1.25659e-14, linear
4096, 22, 1.25876e-14, random
8192, 22, 1.25605e-14, linear
8192, 22, 1.28857e-14, random
16384, 22, 1.65829e-14, linear
16384, 22, 1.34549e-14, random
32768, 22, 1.33032e-14, linear
32768, 22, 1.30158e-14, random
65536, 22, 1.64311e-14, linear
65536, 22, 1.27068e-14, random
131072, 22, 1.28261e-14, linear
131072, 22, 1.40729e-14, random
262144, 22, 1.38886e-14, linear
262144, 22, 1.39808e-14, random
524288, 22, 1.41e-14, linear
